KukaTheta-1 KukaTheta-2 KukaTheta-3 KukaTheta-4 KukaTheta-5 KukaTheta-6 
33.90 0.00 0.00 0.00 0.00 0.00 
34.42 0.00 0.00 0.00 0.00 0.00 
34.93 0.00 0.00 0.00 0.00 0.00 
35.44 0.00 0.00 0.00 0.00 0.00 
35.93 0.00 0.00 0.00 0.00 0.00 
36.42 0.00 0.00 0.00 0.00 0.00 
36.90 0.00 0.00 0.00 0.00 0.00 
37.37 0.00 0.00 0.00 0.00 0.00 
37.83 0.00 0.00 0.00 0.00 0.00 
38.28 0.00 0.00 0.00 0.00 0.00 
38.72 0.00 0.00 0.00 0.00 0.00 
39.14 0.00 0.00 0.00 0.00 0.00 
39.56 0.00 0.00 0.00 0.00 0.00 
39.96 0.00 0.00 0.00 0.00 0.00 
40.35 0.00 0.00 0.00 0.00 0.00 
40.73 0.00 0.00 0.00 0.00 0.00 
41.09 0.00 0.00 0.00 0.00 0.00 
41.44 0.00 0.00 0.00 0.00 0.00 
41.78 0.00 0.00 0.00 0.00 0.00 
42.10 0.00 0.00 0.00 0.00 0.00 
42.40 0.00 0.00 0.00 0.00 0.00 
42.69 0.00 0.00 0.00 0.00 0.00 
42.96 0.00 0.00 0.00 0.00 0.00 
43.22 0.00 0.00 0.00 0.00 0.00 
43.46 0.00 0.00 0.00 0.00 0.00 
43.69 0.00 0.00 0.00 0.00 0.00 
43.89 0.00 0.00 0.00 0.00 0.00 
44.08 0.00 0.00 0.00 0.00 0.00 
44.26 0.00 0.00 0.00 0.00 0.00 
44.41 0.00 0.00 0.00 0.00 0.00 
44.55 0.00 0.00 0.00 0.00 0.00 
44.67 0.00 0.00 0.00 0.00 0.00 
44.77 0.00 0.00 0.00 0.00 0.00 
44.85 0.00 0.00 0.00 0.00 0.00 
44.92 0.00 0.00 0.00 0.00 0.00 
44.96 0.00 0.00 0.00 0.00 0.00 
44.99 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
45.00 0.00 0.00 0.00 0.00 0.00 
